Time,Item 1,Item 2,Item 3,Item 4
1/1/17 7:32:15 AM CST,,,,0
1/1/17 9:33:01 AM CST,,,1,
1/1/17 9:40:10 AM CST,,,0,
1/1/17 10:47:57 AM CST,,,1,
1/1/17 10:56:16 AM CST,,,0,
1/1/17 11:37:51 AM CST,,,1,
1/1/17 11:45:40 AM CST,,,0,
1/1/17 12:24:56 PM CST,,,1,
1/1/17 12:32:31 PM CST,,,0,
1/1/17 1:13:02 PM CST,,,1,
1/1/17 1:21:46 PM CST,,,0,
1/1/17 1:58:57 PM CST,,,1,
1/1/17 2:07:22 PM CST,,,0,
1/1/17 2:27:12 PM CST,,,1,
1/1/17 2:36:06 PM CST,,,0,
1/1/17 3:21:02 PM CST,,,1,
1/1/17 3:29:12 PM CST,,,0,
1/1/17 4:08:07 PM CST,,,1,
1/1/17 4:16:42 PM CST,,,0,
1/1/17 4:58:29 PM CST,,,1,
1/1/17 5:06:33 PM CST,,,0,
1/1/17 5:55:45 PM CST,,,1,
1/1/17 6:03:25 PM CST,,,0,
1/1/17 6:56:07 PM CST,,,1,
1/1/17 7:03:42 PM CST,,,0,
1/1/17 8:27:52 PM CST,,,1,
1/1/17 8:36:42 PM CST,,,0,
1/1/17 9:35:09 PM CST,,,1,
1/1/17 9:43:13 PM CST,,,0,
1/1/17 10:20:48 PM CST,,,,1
1/2/17 7:32:04 AM CST,,,,0
1/2/17 9:42:13 AM CST,,,1,
1/2/17 9:49:08 AM CST,,,0,
1/2/17 10:38:14 AM CST,,,1,
1/2/17 10:44:49 AM CST,,,0,
1/2/17 11:09:45 AM CST,,,1,
1/2/17 11:21:50 AM CST,,,0,
1/2/17 12:15:16 PM CST,,,1,
1/2/17 12:27:36 PM CST,,,0,
1/2/17 1:31:43 PM CST,,,1,
1/2/17 1:45:27 PM CST,,,0,
1/2/17 2:49:58 PM CST,,,1,
1/2/17 3:03:57 PM CST,,,0,
1/2/17 4:10:44 PM CST,,,1,
1/2/17 4:23:59 PM CST,,,0,
1/2/17 6:02:11 PM CST,,,1,
1/2/17 6:09:56 PM CST,,,0,
1/2/17 7:44:06 PM CST,,,1,
1/2/17 7:51:01 PM CST,,,0,
1/2/17 10:09:33 PM CST,,,1,
1/2/17 10:16:38 PM CST,,,0,
1/2/17 10:20:46 PM CST,,,,1
1/3/17 7:32:10 AM CST,,,,0
1/3/17 9:50:58 AM CST,,1,,
1/3/17 9:58:27 AM CST,,0,,
1/3/17 10:48:38 AM CST,,1,,
1/3/17 10:55:52 AM CST,,0,,
1/3/17 11:22:03 AM CST,,1,,
1/3/17 11:35:43 AM CST,,0,,
1/3/17 12:38:59 PM CST,,1,,
1/3/17 12:52:03 PM CST,,,,
1/3/17 12:52:04 PM CST,,0,,
1/3/17 1:50:32 PM CST,,1,,
1/3/17 2:05:02 PM CST,,0,,
1/3/17 3:20:07 PM CST,,1,,
1/3/17 3:27:37 PM CST,,0,,
1/3/17 4:05:27 PM CST,,1,,
1/3/17 4:14:12 PM CST,,0,,
1/3/17 4:59:18 PM CST,,1,,
1/3/17 5:07:21 PM CST,,0,,
1/3/17 6:00:32 PM CST,,1,,
1/3/17 6:08:01 PM CST,,0,,
1/3/17 10:20:44 PM CST,,,,1
1/4/17 7:32:11 AM CST,,,,0
1/4/17 10:20:40 PM CST,,,,1
1/5/17 7:32:08 AM CST,,,,0
1/5/17 7:48:19 AM CST,,1,,
1/5/17 8:34:08 AM CST,,0,,
1/5/17 9:16:00 AM CST,,1,,
1/5/17 9:29:15 AM CST,,0,,
1/5/17 9:36:55 AM CST,,1,,
1/5/17 9:49:54 AM CST,,0,,
1/5/17 10:02:55 AM CST,,1,,
1/5/17 10:22:50 AM CST,,0,,
1/5/17 10:36:51 AM CST,,1,,
1/5/17 10:48:05 AM CST,,0,,
1/5/17 11:06:26 AM CST,,1,,
1/5/17 11:18:41 AM CST,,0,,
1/5/17 11:31:21 AM CST,,1,,
1/5/17 11:46:25 AM CST,,0,,
1/5/17 11:59:46 AM CST,,1,,
1/5/17 12:10:46 PM CST,,0,,
1/5/17 12:27:26 PM CST,,1,,
1/5/17 12:39:56 PM CST,,0,,
1/5/17 12:53:51 PM CST,,1,,
1/5/17 1:10:21 PM CST,,0,,
1/5/17 1:25:36 PM CST,,1,,
1/5/17 1:37:16 PM CST,,0,,
1/5/17 1:54:16 PM CST,,1,,
1/5/17 2:25:22 PM CST,,0,,
1/5/17 3:02:00 PM CST,,1,,
1/5/17 3:35:56 PM CST,,0,,
1/5/17 4:16:20 PM CST,,1,,
1/5/17 4:53:39 PM CST,,0,,
1/5/17 5:38:09 PM CST,,1,,
1/5/17 5:54:49 PM CST,,0,,
1/5/17 6:02:04 PM CST,,1,,
1/5/17 6:14:14 PM CST,,0,,
1/5/17 6:31:53 PM CST,,1,,
1/5/17 6:44:59 PM CST,,0,,
1/5/17 6:59:29 PM CST,,1,,
1/5/17 7:13:34 PM CST,,0,,
1/5/17 7:30:24 PM CST,,1,,
1/5/17 7:41:59 PM CST,,0,,
1/5/17 8:00:35 PM CST,,1,,
1/5/17 8:12:59 PM CST,,0,,
1/5/17 8:30:50 PM CST,,1,,
1/5/17 8:44:09 PM CST,,0,,
1/5/17 9:03:10 PM CST,,1,,
1/5/17 9:14:09 PM CST,,0,,
1/5/17 10:00:55 PM CST,,1,,
1/5/17 10:17:00 PM CST,,0,,
1/5/17 10:20:44 PM CST,,,,1
1/6/17 7:32:08 AM CST,,,,0
1/6/17 7:44:52 AM CST,,,1,
1/6/17 8:26:48 AM CST,,,0,
1/6/17 9:10:10 AM CST,,,1,
1/6/17 10:03:05 AM CST,,,0,
1/6/17 10:41:41 AM CST,,,1,
1/6/17 11:34:56 AM CST,,,0,
1/6/17 11:58:42 AM CST,,,1,
1/6/17 12:57:02 PM CST,,,0,
1/6/17 1:19:03 PM CST,,,1,
1/6/17 2:15:45 PM CST,,,0,
1/6/17 2:42:45 PM CST,,,1,
1/6/17 3:59:52 PM CST,,,0,
1/6/17 4:25:07 PM CST,,,1,
1/6/17 5:24:23 PM CST,,,0,
1/6/17 5:56:38 PM CST,,,1,
1/6/17 6:33:12 PM CST,,,0,
1/6/17 7:06:53 PM CST,,,1,
1/6/17 7:44:38 PM CST,,,0,
1/6/17 8:17:53 PM CST,,,1,
1/6/17 8:51:48 PM CST,,,0,
1/6/17 9:29:14 PM CST,,,1,
1/6/17 10:04:15 PM CST,,,0,
1/6/17 10:20:40 PM CST,,,,1
1/7/17 7:32:08 AM CST,,,,0
1/7/17 8:41:39 AM CST,,1,,
1/7/17 9:08:54 AM CST,,0,,
1/7/17 9:51:35 AM CST,,1,,
1/7/17 10:16:49 AM CST,,0,,
1/7/17 10:59:30 AM CST,,1,,
1/7/17 11:31:06 AM CST,,0,,
1/7/17 12:23:30 PM CST,,1,,
1/7/17 12:52:20 PM CST,,0,,
1/7/17 1:44:21 PM CST,,1,,
1/7/17 1:57:05 PM CST,,0,,
1/7/17 2:09:15 PM CST,,1,,
1/7/17 2:21:40 PM CST,,0,,
1/7/17 3:04:51 PM CST,,1,,
1/7/17 3:16:36 PM CST,,0,,
1/7/17 3:33:11 PM CST,,1,,
1/7/17 3:42:41 PM CST,,0,,
1/7/17 4:00:07 PM CST,,1,,
1/7/17 4:08:53 PM CST,,0,,
1/7/17 4:27:03 PM CST,,1,,
1/7/17 4:43:07 PM CST,,0,,
1/7/17 5:31:43 PM CST,,1,,
1/7/17 5:42:58 PM CST,,0,,
1/7/17 6:25:41 PM CST,,1,,
1/7/17 6:36:15 PM CST,,0,,
1/7/17 7:20:56 PM CST,,1,,
1/7/17 7:31:01 PM CST,,0,,
1/7/17 8:21:16 PM CST,,1,,
1/7/17 8:30:31 PM CST,,0,,
1/7/17 9:27:12 PM CST,,1,,
1/7/17 9:35:02 PM CST,1,0,,
1/7/17 10:20:41 PM CST,0,,,1
